Rank,Player,Team,Position,Tier,Tag,Notes
23,Kyren Williams,LAR,RB,Tier 3,,VORP: +62.8 | Proj: 209.2pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • ⚡ Goal-Line Anchor
24,Nico Collins,HOU,WR,Tier 3,,VORP: +62.6 | Proj: 201.3pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
25,Zay Flowers,BAL,WR,Tier 3,TARGET,👑[THE TWELVE] | VORP: +62.4 | Proj: 201.2pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🎯 Target Funnel (60% 2-WR) • 🔥 Breakout Catalyst • 💰 Contract Yr
26,A.J. Brown,NE,WR,Tier 3,SLEEPER,🟣[YAHOO STEAL: +11 PICKS] | VORP: +57.2 | Proj: 196.0pts | Scheme: Josh McDaniels • 💰 Contract Yr
27,Tee Higgins,CIN,WR,Tier 3,TARGET,💥[EXODIA MUST-HAVE] | VORP: +56.0 | Proj: 194.8pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
28,Chris Olave,NO,WR,Tier 3,SLEEPER,🟣[YAHOO STEAL: +9 PICKS] | VORP: +53.3 | Proj: 192.1pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%) • 💰 Contract Yr
29,DeVonta Smith,PHI,WR,Tier 3,TARGET,🎯[SMASH TARGET] | VORP: +52.2 | Proj: 190.9pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
30,Javonte Williams,DAL,RB,Tier 3,TARGET,👑[THE TWELVE] | VORP: +51.1 | Proj: 197.5pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
31,George Pickens,DAL,WR,Tier 3,,VORP: +50.9 | Proj: 189.7pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
32,Josh Allen,BUF,QB,Tier 3,,VORP: +49.2 | Proj: 339.7pts | ⭐ Top-10 Eco (Joe Brady) • OL #7 • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ Dual-Threat Floor
33,Cam Skattebo,NYG,RB,Tier 4,TARGET,💥[EXODIA MUST-HAVE] | VORP: +48.9 | Proj: 195.2pts | Scheme: Matt Nagy • OL #18 • 👑 3-Down Bellcow • 🔥 Breakout Catalyst
34,Ladd McConkey,LAC,WR,Tier 4,SLEEPER,🔥[BREAKOUT CATALYST] | VORP: +46.7 | Proj: 185.5pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%) • 🔥 Breakout Catalyst
35,David Montgomery,HOU,RB,Tier 4,TARGET,💥[EXODIA MUST-HAVE] | VORP: +46.7 | Proj: 193.0pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🔥 Breakout Catalyst
36,Rashee Rice,KC,WR,Tier 4,AVOID,⚠️[PASS/CAUTION] | VORP: +43.8 | Proj: 182.6pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass) • 💰 Contract Yr
37,Malik Nabers,NYG,WR,Tier 4,,VORP: +41.1 | Proj: 179.9pts | Scheme: Matt Nagy
38,Trey McBride,ARI,TE,Tier 4,AVOID,🚫[AVOID/FADE] | VORP: +39.4 | Proj: 167.9pts | Scheme: Mike LaFleur
39,D'Andre Swift,CHI,RB,Tier 4,,VORP: +38.0 | Proj: 184.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • ⚠️ Committee Trap
40,Travis Etienne,NO,RB,Tier 4,AVOID,🚫[AVOID/FADE] | VORP: +38.0 | Proj: 184.3pts | Scheme: Kellen Moore • OL #22 • 🔥 Breakout Catalyst
41,Quinshon Judkins,CLE,RB,Tier 4,AVOID,🚫[AVOID/FADE] | VORP: +37.7 | Proj: 184.0pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🔥 Breakout Catalyst
42,Tyler Warren,IND,TE,Tier 4,TARGET,💥[EXODIA MUST-HAVE] | VORP: +37.2 | Proj: 165.3pts | Scheme: Shane Steichen • 💥 TE1 Alpha
43,Garrett Wilson,NYJ,WR,Tier 4,AVOID,⚠️[PASS/CAUTION] | VORP: +36.8 | Proj: 175.5pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
44,Jameson Williams,DET,WR,Tier 4,SLEEPER,🟣[YAHOO STEAL: +13 PICKS] | VORP: +35.9 | Proj: 174.7pts | ⭐ Top-10 Eco (Drew Petzing)
45,Rhamondre Stevenson,NE,RB,Tier 4,TARGET,🎯[SMASH TARGET] | VORP: +35.8 | Proj: 182.1pts | Scheme: Josh McDaniels • OL #13
46,Colston Loveland,CHI,TE,Tier 4,TARGET,🎯[SMASH TARGET] | VORP: +35.6 | Proj: 163.4pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson) • 🎯 90%+ Route Snaps (41% 12p) • 🔥 Breakout Catalyst
47,Jaylen Waddle,DEN,WR,Tier 4,TARGET,💥[EXODIA MUST-HAVE] | VORP: +32.1 | Proj: 170.9pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%) • 🔥 Breakout Catalyst
48,Terry McLaurin,WAS,WR,Tier 4,TARGET,👑[THE TWELVE] | VORP: +31.0 | Proj: 169.8pts | Scheme: David Blough • ⚠️ Bad OL (#25)
49,Bucky Irving,TB,RB,Tier 4,AVOID,🚫[AVOID/FADE] | VORP: +29.5 | Proj: 175.8pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5)
50,Luther Burden,CHI,WR,Tier 4,TARGET,💥[EXODIA MUST-HAVE] | VORP: +28.3 | Proj: 167.1pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson) • 🔥 Breakout Catalyst
51,Jeremiyah Love,ARI,RB,Tier 4,AVOID,🚫[AVOID/FADE] | VORP: +28.2 | Proj: 174.5pts | Scheme: Mike LaFleur • OL #20
52,Davante Adams,LAR,WR,Tier 4,,VORP: +28.2 | Proj: 167.0pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
53,Emeka Egbuka,TB,WR,Tier 4,AVOID,🚫[AVOID/FADE] | VORP: +27.5 | Proj: 166.3pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%) • 🔥 Breakout Catalyst
54,Drake Maye,NE,QB,Tier 4,SLEEPER,🔥[BREAKOUT CATALYST] | VORP: +27.1 | Proj: 310.2pts | Scheme: Josh McDaniels • OL #13 • 🔥 Breakout Catalyst
55,Christian Watson,GB,WR,Tier 5,TARGET,💥[EXODIA MUST-HAVE] | VORP: +27.0 | Proj: 165.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
56,Bhayshul Tuten,JAC,RB,Tier 5,TARGET,💥[EXODIA MUST-HAVE] | VORP: +26.2 | Proj: 172.6pts | Scheme: Liam Coen • OL #23 • 🔥 Breakout Catalyst
57,Tetairoa McMillan,CAR,WR,Tier 5,AVOID,🚫[AVOID/FADE] | VORP: +25.1 | Proj: 163.9pts | Scheme: Dave Canales/Idzik
58,Parker Washington,JAC,WR,Tier 5,TARGET,💥[EXODIA MUST-HAVE] | VORP: +24.7 | Proj: 163.5pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen) • ⚡ 3-WR Slot Heavy (25%) • 💰 Contract Yr
59,Lamar Jackson,BAL,QB,Tier 5,AVOID,🚫[AVOID/FADE] | VORP: +23.5 | Proj: 305.5pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • ⚡ Dual-Threat Floor
60,Rome Odunze,CHI,WR,Tier 5,TARGET,🎯[SMASH TARGET] | VORP: +23.3 | Proj: 162.1pts | ⭐ Top-10 Eco (Ben Johnson) • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
61,Jalen Hurts,PHI,QB,Tier 5,,VORP: +22.0 | Proj: 303.4pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • ⚡ Dual-Threat Floor
62,Mike Evans,SF,WR,Tier 5,TARGET,💥[EXODIA MUST-HAVE] | VORP: +20.9 | Proj: 159.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
63,DJ Moore,BUF,WR,Tier 5,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: +20.6 | Proj: 159.3pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
64,Brian Thomas,JAC,WR,Tier 5,SLEEPER,🟣[YAHOO STEAL: +9 PICKS] | VORP: +19.2 | Proj: 158.0pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen) • ⚡ 3-WR Slot Heavy (25%)
65,Jaylen Warren,PIT,RB,Tier 5,AVOID,🚫[AVOID/FADE] | VORP: +18.6 | Proj: 165.0pts | Scheme: Mike McCarthy • OL #19 • 👑 3-Down Bellcow
66,Jayden Daniels,WAS,QB,Tier 5,,VORP: +17.8 | Proj: 297.9pts | Scheme: David Blough • ⚠️ Bad OL (#25) • ⚡ Dual-Threat Floor
67,Kyle Pitts,ATL,TE,Tier 5,AVOID,⚠️[PASS/CAUTION] | VORP: +17.0 | Proj: 141.6pts | Scheme: Kevin Stefanski/Rees • 🎯 90%+ Route Snaps (54% 12p)
68,Sam LaPorta,DET,TE,Tier 5,TARGET,👑[THE TWELVE] | VORP: +16.8 | Proj: 141.3pts | ⭐ Top-10 Eco (Drew Petzing) • 💰 Contract Yr
69,Harold Fannin,CLE,TE,Tier 5,SLEEPER,🔥[BREAKOUT CATALYST] | VORP: +16.2 | Proj: 140.6pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🎯 90%+ Route Snaps (47% 12p) • 🔥 Breakout Catalyst
70,Quentin Johnston,LAC,WR,Tier 5,SLEEPER,🟣[YAHOO STEAL: +22 PICKS] | VORP: +13.4 | Proj: 152.2pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%) • 💰 Contract Yr
71,Joe Burrow,CIN,QB,Tier 5,AVOID,🚫[AVOID/FADE] | VORP: +12.7 | Proj: 291.0pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
72,Tucker Kraft,GB,TE,Tier 5,TARGET,💥[EXODIA MUST-HAVE] | VORP: +12.4 | Proj: 136.2pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 💥 TE1 Alpha • 💰 Contract Yr
73,George Kittle,SF,TE,Tier 5,,VORP: +11.6 | Proj: 135.2pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🎯 90%+ Route Snaps (48% 12p)
74,DK Metcalf,PIT,WR,Tier 5,AVOID,🚫[AVOID/FADE] | VORP: +11.2 | Proj: 150.0pts | Scheme: Mike McCarthy
75,Justin Herbert,LAC,QB,Tier 5,TARGET,👑[THE TWELVE] | VORP: +10.2 | Proj: 287.7pts | Scheme: Mike McDaniel • OL #9
76,TreVeyon Henderson,NE,RB,Tier 5,AVOID,🚫[AVOID/FADE] | VORP: +9.9 | Proj: 156.3pts | Scheme: Josh McDaniels • OL #13 • ⚠️ Committee Trap
77,Trevor Lawrence,JAC,QB,Tier 6,TARGET,👑[THE TWELVE] | VORP: +9.7 | Proj: 287.1pts | Scheme: Liam Coen • OL #23 • 🎯 Pass-Heavy RZ (Liam Coen) • ⚡ Dual-Threat Floor • 🔥 Breakout Catalyst
78,Mark Andrews,BAL,TE,Tier 6,SLEEPER,🔥[BREAKOUT CATALYST] | VORP: +9.6 | Proj: 132.9pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🎯 90%+ Route Snaps (60% 12p) • 🔥 Breakout Catalyst
79,Michael Pittman,PIT,WR,Tier 6,AVOID,⚠️[PASS/CAUTION] | VORP: +7.5 | Proj: 146.3pts | Scheme: Mike McCarthy
80,Travis Kelce,KC,TE,Tier 6,AVOID,🚫[AVOID/FADE] | VORP: +6.4 | Proj: 129.1pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
81,Brock Purdy,SF,QB,Tier 6,TARGET,🎯[SMASH TARGET] | VORP: +6.4 | Proj: 282.6pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6
82,Caleb Williams,CHI,QB,Tier 6,TARGET,🎯[SMASH TARGET] | VORP: +6.1 | Proj: 282.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
83,Dak Prescott,DAL,QB,Tier 6,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: +4.8 | Proj: 280.5pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15 • 🎯 Pass-Funnel RZ (61% Pass)
84,Dallas Goedert,PHI,TE,Tier 6,TARGET,🎯[SMASH TARGET] | VORP: +4.7 | Proj: 127.1pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
85,Courtland Sutton,DEN,WR,Tier 6,AVOID,🚫[AVOID/FADE] | VORP: +4.0 | Proj: 142.7pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
86,Chuba Hubbard,CAR,RB,Tier 6,TARGET,🎯[SMASH TARGET] | VORP: +3.4 | Proj: 149.7pts | Scheme: Dave Canales/Idzik • OL #8
87,Rico Dowdle,PIT,RB,Tier 6,,VORP: +0.4 | Proj: 146.7pts | Scheme: Mike McCarthy • OL #19
88,Patrick Mahomes,KC,QB,Tier 6,,VORP: +0.4 | Proj: 274.6pts | ⭐ Top-10 Eco (Andy Reid) • OL #21 • 🎯 Pass-Funnel RZ (63% Pass)
89,Bo Nix,DEN,QB,Tier 6,,VORP: +0.0 | Proj: 274.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ Dual-Threat Floor
90,Jadarian Price,SEA,RB,Tier 6,,VORP: +0.0 | Proj: 146.3pts | Scheme: Brian Fleury • OL #14 • ⚠️ Committee Trap
91,Carnell Tate,TEN,WR,Tier 6,AVOID,🚫[AVOID/FADE] | VORP: +0.0 | Proj: 138.8pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
92,Juwan Johnson,NO,TE,Tier 6,,VORP: +0.0 | Proj: 121.6pts | Scheme: Kellen Moore
93,Jordan Addison,MIN,WR,Tier 6,SLEEPER,🟣[YAHOO STEAL: +12 PICKS] | VORP: -0.5 | Proj: 138.2pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass) • 💰 Contract Yr
94,Marvin Harrison,ARI,WR,Tier 6,AVOID,⚠️[PASS/CAUTION] | VORP: -0.8 | Proj: 138.0pts | Scheme: Mike LaFleur
95,Dalton Kincaid,BUF,TE,Tier 6,TARGET,🎯[SMASH TARGET] | VORP: -1.1 | Proj: 120.3pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • 💰 Contract Yr
96,Jakobi Meyers,JAC,WR,Tier 6,AVOID,⚠️[PASS/CAUTION] | VORP: -1.6 | Proj: 137.2pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen) • ⚡ 3-WR Slot Heavy (25%)
97,Jake Ferguson,DAL,TE,Tier 6,AVOID,🚫[AVOID/FADE] | VORP: -1.7 | Proj: 119.6pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass)
98,Brenton Strange,JAC,TE,Tier 6,,VORP: -2.1 | Proj: 119.2pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen)
99,Tony Pollard,TEN,RB,Tier 6,AVOID,🚫[AVOID/FADE] | VORP: -2.6 | Proj: 143.7pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚠️ Committee Trap
100,Jaxson Dart,NYG,QB,Tier 6,SLEEPER,🔥[BREAKOUT CATALYST] | VORP: -3.6 | Proj: 269.4pts | Scheme: Matt Nagy • OL #18 • ⚡ Dual-Threat Floor • 🔥 Breakout Catalyst
101,Isaiah Likely,NYG,TE,Tier 6,SLEEPER,🔥[BREAKOUT CATALYST] | VORP: -4.0 | Proj: 116.9pts | Scheme: Matt Nagy • 🔥 Breakout Catalyst
102,Michael Wilson,ARI,WR,Tier 6,SLEEPER,🟣[YAHOO STEAL: +14 PICKS] | VORP: -4.4 | Proj: 134.4pts | Scheme: Mike LaFleur • 💰 Contract Yr
103,Alec Pierce,IND,WR,Tier 6,,VORP: -4.4 | Proj: 134.3pts | Scheme: Shane Steichen
104,Chris Godwin,TB,WR,Tier 6,SLEEPER,🟣[YAHOO STEAL: +16 PICKS] | VORP: -4.6 | Proj: 134.2pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
105,Josh Downs,IND,WR,Tier 6,TARGET,💥[EXODIA MUST-HAVE] | VORP: -4.7 | Proj: 134.1pts | Scheme: Shane Steichen • 💰 Contract Yr
106,Hunter Henry,NE,TE,Tier 6,,VORP: -5.1 | Proj: 115.5pts | Scheme: Josh McDaniels
107,Romeo Doubs,NE,WR,Tier 6,TARGET,🎯[SMASH TARGET] | VORP: -5.8 | Proj: 132.9pts | Scheme: Josh McDaniels
108,Jared Goff,DET,QB,Tier 6,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: -6.1 | Proj: 266.0pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16
109,Kenny Gainwell,TB,RB,Tier 7,AVOID,🚫[AVOID/FADE] | VORP: -7.9 | Proj: 138.4pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5)
110,Jayden Reed,GB,WR,Tier 7,SLEEPER,🟣[YAHOO STEAL: +12 PICKS] | VORP: -8.0 | Proj: 130.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
111,Dalton Schultz,HOU,TE,Tier 7,,VORP: -8.6 | Proj: 111.5pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass)
112,Matthew Stafford,LAR,QB,Tier 7,,VORP: -9.3 | Proj: 261.7pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
113,T.J. Hockenson,MIN,TE,Tier 7,,VORP: -11.1 | Proj: 108.5pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
114,Stefon Diggs,WAS,WR,Tier 7,,VORP: -11.3 | Proj: 127.5pts | Scheme: David Blough • ⚠️ Bad OL (#25)
115,Matthew Golden,GB,WR,Tier 7,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: -13.8 | Proj: 125.0pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
116,Aaron Jones Sr.,MIN,RB,Tier 7,AVOID,🚫[AVOID/FADE] | VORP: -14.2 | Proj: 132.1pts | Scheme: Kevin O'Connell • OL #12 • ⚠️ Committee Trap
117,Baker Mayfield,TB,QB,Tier 7,,VORP: -14.7 | Proj: 254.5pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass)
118,Xavier Worthy,KC,WR,Tier 7,,VORP: -15.2 | Proj: 123.5pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
119,Cade Otton,TB,TE,Tier 7,SLEEPER,🟣[YAHOO STEAL: +22 PICKS] | VORP: -15.4 | Proj: 103.5pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass)
120,AJ Barner,SEA,TE,Tier 7,,VORP: -15.8 | Proj: 103.0pts | Scheme: Brian Fleury • 🎯 90%+ Route Snaps (47% 12p)
121,Wan'Dale Robinson,TEN,WR,Tier 7,AVOID,🚫[AVOID/FADE] | VORP: -16.2 | Proj: 122.6pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
122,Chig Okonkwo,WAS,TE,Tier 7,,VORP: -16.8 | Proj: 101.8pts | Scheme: David Blough • ⚠️ Bad OL (#25)
123,Kyler Murray,MIN,QB,Tier 7,TARGET,💥[EXODIA MUST-HAVE] | VORP: -17.5 | Proj: 250.8pts | Scheme: Kevin O'Connell • OL #12 • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ Dual-Threat Floor
124,Deebo Samuel Sr.,SF,WR,Tier 7,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: -17.5 | Proj: 121.3pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
125,Tyler Shough,NO,QB,Tier 7,,VORP: -17.8 | Proj: 250.4pts | Scheme: Kellen Moore • OL #22 • ⚡ Dual-Threat Floor • 🔥 Breakout Catalyst
126,RJ Harvey,DEN,RB,Tier 7,AVOID,⚠️[PASS/CAUTION] | VORP: -18.0 | Proj: 128.3pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
127,Jordan Love,GB,QB,Tier 7,AVOID,⚠️[PASS/CAUTION] | VORP: -18.4 | Proj: 249.7pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
128,Daniel Jones,IND,QB,Tier 7,SLEEPER,🟣[YAHOO STEAL: +33 PICKS] | VORP: -19.6 | Proj: 248.0pts | Scheme: Shane Steichen • OL #10
